Wavelength,background,modulation
380,2.661180456851603e-07,3.32684659161252e-06
381,2.0386355408969327e-07,1.0141218774859624e-05
382,3.3308563292992106e-07,6.903225447252636e-06
383,3.462918464085524e-08,1.7100950887949644e-05
384,2.5707634305175847e-07,5.407147812699161e-06
385,1.4973955976751588e-07,9.594208070483449e-06
386,1.6333540105901567e-07,6.364034641899946e-06
387,1.2723381738780464e-06,1.4600138650054294e-05
388,1.0933695477172306e-06,1.027302191033541e-05
389,2.749196420216685e-06,1.9385256369068805e-05
390,1.278404041416893e-06,1.9584715644734998e-05
391,1.4126165713231478e-06,1.471620935149332e-05
392,1.4176977406564978e-06,1.487592779613654e-05
393,1.177546056558967e-06,2.7775068602274066e-05
394,1.3729976726174646e-06,2.915705528759659e-05
395,2.4391612012758245e-06,3.395581216272289e-05
396,2.6111536787238117e-06,3.954614642172079e-05
397,4.458216289264422e-06,4.10964874120643e-05
398,5.455587476566611e-06,4.795980151227711e-05
399,5.461565959561309e-06,6.565510331346067e-05
400,5.708904744468715e-06,8.305176781862868e-05
401,7.359473913408753e-06,0.00010650705780184473
402,8.77627739709634e-06,0.0001329714477861825
403,1.2219700185051677e-05,0.00017509246526865624
404,1.4292805460775056e-05,0.00020765844795005427
405,1.9422541894934268e-05,0.00025600328538088877
406,2.3973337645952656e-05,0.0003274104099368959
407,2.962670001478703e-05,0.0003956809538858493
408,3.4748060002007445e-05,0.0005011199407977427
409,4.4672361540791176e-05,0.0006184347481052393
410,5.3901112098585356e-05,0.0007598312719925852
411,6.452981124733102e-05,0.0009310527307409203
412,7.740788966132727e-05,0.001128505921529095
413,9.373918936784158e-05,0.0013787720443605425
414,0.00011911044251583966,0.0016517245049225166
415,0.00013596360189956972,0.001996788655993238
416,0.00016623865344378685,0.0024146373153621195
417,0.00019645616744415621,0.0029135861138326687
418,0.00023298986120351604,0.003496547502876549
419,0.0002847411153215468,0.004187520448621193
420,0.00033785883801850953,0.0049521282431773915
421,0.0003986368343168431,0.005847454031892183
422,0.0004708374108725658,0.00694829403759255
423,0.0005360021473584676,0.007999806896530947
424,0.0006092319069681484,0.009064792928519807
425,0.0006709593854462592,0.010075625724825215
426,0.0007190057262782496,0.010859313121171232
427,0.0007460610736124935,0.011338140029243871
