Wavelength,red,blue
380,0.0,0.0
381,9.755691884999448e-08,1.7777682377364666e-07
382,6.905265053383458e-09,1.0131281469141422e-07
383,0.0,1.6238488228735246e-07
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,7.533315557427854e-08
388,0.0,6.9437785454385685e-09
389,0.0,5.853833196815166e-08
390,0.0,8.944720239008465e-08
391,0.0,1.864625360332688e-06
392,8.859996658795391e-08,3.2845694447789556e-06
393,0.0,1.1249195396207539e-06
394,0.0,1.2220967862658782e-06
395,0.0,0.0
396,1.2779028965388063e-07,4.8046807649028906e-08
397,1.2499573162628562e-07,7.854819127285314e-08
398,5.24493933357503e-10,3.944001497824526e-10
399,0.0,9.868363603703353e-07
400,0.0,3.827177919298469e-06
401,0.0,4.513491351429405e-06
402,0.0,4.488806891498577e-06
403,0.0,1.8094682287744593e-07
404,0.0,3.630111753374068e-07
405,0.0,0.0
406,0.0,0.0
407,0.0,0.0
408,0.0,1.7983308676876648e-07
409,0.0,1.3818155436614017e-07
410,0.0,8.699956009128134e-07
411,0.0,7.513851086589635e-07
412,0.0,1.9264723479441417e-06
413,0.0,4.844027975913603e-07
414,9.612819470804726e-08,1.8238197890974273e-06
415,0.0,1.144036884228995e-06
416,0.0,7.468312960198587e-07
417,0.0,5.1295556166302494e-08
418,0.0,0.0
419,0.0,1.6778748048072575e-06
420,0.0,2.9715454012675787e-06
421,0.0,1.8977265108145178e-06
422,0.0,2.1125478323095325e-06
423,0.0,4.546762466484923e-06
424,2.5111691854949436e-09,4.184231033428992e-06
425,7.108165587395764e-08,5.232154898839069e-06
426,0.0,5.604027880304408e-06
427,0.0,6.621625778393609e-06
428,1.3715370533788533e-07,6.600359521511685e-06
429,0.0,8.260769424409378e-06
430,0.0,1.1053736222497928e-05
431,0.0,1.332657085908727e-05
432,0.0,1.642831615379881e-05
433,1.264164057486906e-07,1.9858320220547986e-05
434,2.086585138258762e-09,1.7569220334787112e-05
435,0.0,2.1322501791721734e-05
436,0.0,2.370261874579418e-05
437,0.0,2.8900774759226437e-05
438,5.304044425326094e-08,3.6397659037586606e-05
439,2.079533680888047e-09,4.2393839516997903e-05
440,0.0,4.990923474219388e-05
441,0.0,5.9627361630067454e-05
442,0.0,7.054712367960977e-05
443,0.0,8.35269953477511e-05
444,9.168787066446367e-07,9.717442317659678e-05
445,2.8375420037046438e-08,0.00011853170878339217
446,1.1935814027206964e-07,0.00013736573840760866
447,0.0,0.00016206561174145903
448,0.0,0.00018569636519038865
449,0.0,0.00021962210198809223
450,4.984060736616289e-08,0.0002563811508515106
451,0.0,0.00030515366597597463
452,0.0,0.0003487816911739798
453,4.186909845493477e-08,0.00040076763776168456
454,3.797959595577997e-09,0.00047032988803531576
455,0.0,0.0005420510498491141
456,0.0,0.0006261976318163853
457,0.0,0.0007261397576857662
458,0.0,0.000827286894126138
459,0.0,0.0009526705367311753
460,0.0,0.0010937722462792748
461,0.0,0.0012618245443612023
462,0.0,0.0014550685036751384
463,0.0,0.001695501813245134
464,0.0,0.0019514319714658305
465,5.111288584334837e-08,0.002242360939690351
466,0.0,0.0026015024849927724
467,0.0,0.003021257851053726
468,0.0,0.003500427783839303
469,0.0,0.004002931358620972
470,5.2124969336552645e-08,0.004561411767802429
471,0.0,0.005174245112437083
472,0.0,0.005794804266525946
473,0.0,0.0063679899355216125
474,5.7935844660655695e-08,0.006947948871142067
475,0.0,0.007453855156252225
476,0.0,0.007823235456338349
477,0.0,0.008067896101937236
478,0.0,0.00816591748885992
479,0.0,0.008158489391935237
480,9.31315832754394e-09,0.007978210414334955
481,4.3201026325629845e-08,0.0076762723148046524
482,0.0,0.0073527120088473
483,0.0,0.006876173465922875
484,0.0,0.006421467705780176
485,0.0,0.005902661268445981
486,0.0,0.005449550027965473
487,0.0,0.005036220432693218
488,5.4841104324026916e-08,0.004628783427140939
489,1.2331571548829132e-09,0.0042924174969936855
490,0.0,0.004002513902805067
491,0.0,0.0037408550255168763
492,0.0,0.0035028588060344898
493,0.0,0.003279584270566467
494,0.0,0.003079355738685797
495,0.0,0.0028902936905491872
496,0.0,0.0026799996920943174
497,0.0,0.0024692609997869464
498,0.0,0.002295380068841396
499,2.9820418878476216e-09,0.002110535468773752
500,5.349898254257473e-08,0.0019212853342320969
501,0.0,0.001766586677594032
502,0.0,0.0015995516487011762
503,0.0,0.0014367117023596112
504,0.0,0.0013033597720478588
505,0.0,0.0011809191702517776
506,3.3838613765821984e-08,0.0010725732746123954
507,2.042882864744802e-08,0.0009817391353171318
508,6.126461950325071e-08,0.0009062966450790391
509,0.0,0.0008271710705777289
510,0.0,0.0007647412021351002
511,0.0,0.0007027703170151315
512,1.502140487012184e-07,0.0006465892876511138
513,1.3231132035711837e-08,0.0005941295758970784
514,0.0,0.000550783829207023
515,0.0,0.0005103777257773187
516,3.593585866279517e-08,0.0004680336754815603
517,1.5441181481140853e-08,0.00043048566849182335
518,0.0,0.0003949055747511811
519,0.0,0.00036391721607531986
520,0.0,0.0003284012403241942
521,3.6784943858750225e-08,0.00029812254861156156
522,1.2949058099653543e-08,0.0002662444025326995
523,1.2371089011342074e-07,0.00025102677323806955
524,0.0,0.00022528348379823027
525,9.913906885662644e-08,0.0002068717567086732
526,8.930483130426551e-08,0.00018998431208323382
527,0.0,0.00017052147002773798
528,0.0,0.00015420152177206473
529,1.410448616363917e-08,0.00014489482632372666
530,3.186517650101053e-08,0.000132130716454285
531,3.814941800016449e-08,0.00012129588787838443
532,5.765154549898819e-08,0.00011055081744305811
533,0.0,0.00010323630369566333
534,0.0,9.567201567331119e-05
535,1.1320436998602078e-06,8.703127434492041e-05
536,6.732635929645622e-07,8.041895478791464e-05
537,8.532865220091213e-07,7.120816363536681e-05
538,6.623458582352701e-09,6.990192601138557e-05
539,3.665663155244049e-08,6.282969326071867e-05
540,0.0,5.92213908806436e-05
541,4.124957645875461e-08,5.5543466105433337e-05
542,2.214909436177914e-09,4.390947389161785e-05
543,4.563649925871164e-08,4.5392040277411115e-05
544,4.174123661603984e-08,4.116743432186781e-05
545,4.472888666678942e-08,3.7223147696751855e-05
546,0.0,3.498652709361517e-05
547,1.4923825142140274e-07,3.49976433556316e-05
548,1.2056359941606005e-08,3.0360160977929243e-05
549,3.027787531607045e-08,2.8903364780853836e-05
550,0.0,2.507137926221979e-05
551,0.0,2.2437999975934765e-05
552,0.0,2.22099801352041e-05
553,0.0,1.9844129233816074e-05
554,0.0,1.8190433521370292e-05
555,0.0,1.693749421025862e-05
556,0.0,2.017282017626042e-05
557,0.0,1.7247298135496565e-05
558,0.0,1.4717499495907521e-05
559,0.0,1.220539484264789e-05
560,0.0,1.138005045570306e-05
561,0.0,1.210534743480582e-05
562,4.4727383440342246e-07,8.262815492484055e-06
563,1.4776354602302061e-06,7.193777433949865e-06
564,1.014868604633022e-06,8.367742265650779e-06
565,1.888412295882294e-07,8.9528682136372e-06
566,9.168152407910851e-07,7.985630799418671e-06
567,6.337703472461616e-07,5.722800338936085e-06
568,9.843587921173876e-07,5.718268104101859e-06
569,4.125047906198203e-07,5.403241698908285e-06
570,1.6027895905021136e-06,6.002902576878465e-06
571,1.3424591736745778e-06,4.858569250581289e-06
572,9.440321580730122e-07,5.011140888564659e-06
573,1.4473959829226638e-06,3.779927463357003e-06
574,1.8649581878924072e-06,4.337120207177713e-06
575,3.335821756131369e-06,6.8966821975210185e-06
576,7.632245162870343e-07,4.741736676319835e-06
577,3.1980948051411763e-06,4.554215085639733e-06
578,3.7445623845014588e-06,3.485523213559566e-06
579,3.966109674018948e-06,2.7703907030190346e-06
580,5.589513446152123e-06,2.1480988191667968e-06
581,6.689565280018908e-06,3.6350266244614055e-06
582,8.082285396329809e-06,2.5482640555694717e-06
583,1.3261302646809285e-05,2.420668379065906e-06
584,1.6788125293671135e-05,2.463070361119018e-06
585,2.304787494104177e-05,4.5298270129970395e-06
586,2.8296699598944925e-05,8.715037712060631e-07
587,3.6447827833071385e-05,6.566041842673058e-07
588,4.4154666834769346e-05,1.394293039467865e-06
589,5.1962966004671885e-05,1.2851847558216093e-06
590,6.242634166207714e-05,4.745550367169601e-06
591,7.18861632565076e-05,3.2319028161159495e-06
592,8.130605961160546e-05,1.5705588522042614e-06
593,9.804398279157337e-05,7.968201645046703e-07
594,0.00010831487476555602,4.485550485089897e-07
595,0.00011978807997498278,1.48164845171331e-06
596,0.00013928759928657434,6.322745574527864e-07
597,0.00015403549485708018,9.327965911040817e-08
598,0.0001796501843453141,6.674790420623128e-07
599,0.00020365583068918962,3.2816807485545274e-06
600,0.00023051592590872354,4.213058734120655e-06
601,0.00026292461570508,2.692134606913384e-06
602,0.0002992353039604941,1.7762917778258262e-07
603,0.00034053725024672663,0.0
604,0.00038088665116226553,4.842678914501263e-07
605,0.0004392290749792857,2.3929214889230656e-06
606,0.0004975071073293159,4.485488903619563e-06
607,0.00056805373098837,6.92657205750564e-06
608,0.0006461690417706251,2.2644746419566e-06
609,0.0007389589003073438,1.1359697317796851e-06
610,0.0008409776820736593,3.2104709615343008e-06
611,0.0009646654606126981,1.545737990547605e-06
612,0.00109756398295266,1.8847208321167282e-08
613,0.0012537582802833367,9.12815482697101e-08
614,0.0014273543570447694,3.403357197783202e-08
615,0.0016223019904989034,1.2642218949077421e-07
616,0.001838416505337485,1.3202451288636914e-06
617,0.0020868430822750176,2.7743806989552958e-06
618,0.002338803819681188,2.477746412514729e-06
619,0.0026107015029387466,2.6549525701240087e-06
620,0.0028851705990232727,2.7330371885066864e-06
621,0.003225767422103251,1.1886054293586863e-06
622,0.003555110329283112,4.802469879223895e-06
623,0.0039230263073892395,2.9487908253271717e-06
624,0.004412837549126669,3.5889756436664994e-06
625,0.004925072054350576,6.3695719030879654e-06
626,0.005502331993306436,1.6041762401458957e-06
627,0.006078360324617402,7.223263756736051e-07
628,0.006613635312935462,7.346259352170801e-08
629,0.00696110065146588,0.0
630,0.007048679259838096,0.0
631,0.006771559587769927,1.1736456170004082e-07
632,0.006130206521787811,1.9802571846746124e-07
633,0.005241258371305013,2.0491373146338386e-08
634,0.004232189729897208,5.4192159073733286e-08
635,0.003325070319158303,0.0
636,0.0025764915846163126,0.0
637,0.0020012569218625024,1.0989906513597795e-07
638,0.0015675177544459211,5.948880654133447e-08
639,0.001243674239220372,4.557814521445144e-08
640,0.001004648811889076,6.44104368790239e-08
641,0.0008109603606948461,1.4233560023322186e-07
642,0.0006499616650066544,1.2828575406899334e-08
643,0.0005309614144595496,1.2127550565048235e-07
644,0.0004246772206669123,0.0
645,0.00034180947914209134,6.946251508510338e-08
646,0.00027172515123526574,1.989538964680854e-08
647,0.0002257305530814441,2.6301537918750737e-07
648,0.0001811883462092572,4.440176810919295e-07
649,0.00014725321953316876,9.529500541202602e-07
650,0.00012094476669949648,1.0399676286996574e-07
651,9.836719226075413e-05,0.0
652,8.36559723126554e-05,2.9417833966474316e-08
653,6.985673505497967e-05,7.643729468623766e-08
654,6.0732627409464654e-05,0.0
655,5.4182140602916785e-05,0.0
656,4.5732616449246516e-05,9.626298769476583e-08
657,4.174930048464695e-05,0.0
658,3.618616856177947e-05,0.0
659,2.9605314803015177e-05,4.6364345782218474e-08
660,2.5618772757233427e-05,1.912776720251099e-08
661,2.2394047018984087e-05,2.0048653737323885e-07
662,1.864170698647917e-05,2.5163384012208066e-08
663,1.774699484859044e-05,1.0170618105245427e-07
664,1.1735060572230353e-05,1.3007087065422605e-07
665,1.1737455996062322e-05,3.1499727845406604e-08
666,9.928115485556199e-06,9.390231534795452e-08
667,8.806780250232019e-06,1.555718376013597e-08
668,6.182163071554836e-06,3.6746444130674776e-06
669,7.79183036833712e-06,1.5947811820781266e-06
670,6.253249958029666e-06,1.718743932497816e-06
671,7.720196607167232e-06,2.490841808461698e-06
672,5.062456873318695e-06,1.319780173460489e-06
673,5.41022346168486e-06,4.115251014503559e-06
674,4.133938420553883e-06,4.1910648105311155e-06
675,3.2635124825777484e-06,3.506008492216742e-06
676,3.687056771912803e-06,7.139230547084531e-07
677,4.558901565749744e-06,4.941077484502373e-08
678,3.0040510823572683e-06,0.0
679,2.56353706919369e-06,0.0
680,2.452815421557968e-06,0.0
681,4.8301466250760125e-06,8.238351078611346e-07
682,3.666763131798684e-06,2.944055652158234e-06
683,1.4576800186572302e-06,1.5839194992072549e-06
684,1.472063311613385e-06,1.6551577161727403e-06
685,1.2511183209465972e-06,1.6628833347530854e-07
686,4.589748777386834e-06,0.0
687,8.27899750089812e-07,2.378317533610237e-08
688,1.4218085550233028e-06,1.580501184574244e-08
689,1.3859346132457323e-06,2.839175137183561e-07
690,1.356767189169646e-06,3.5253092179012933e-07
691,9.407055207119213e-07,9.850870864444323e-07
692,1.8962686075626114e-08,8.598351632783218e-08
693,6.23939454831455e-08,9.38359122671254e-08
694,1.0737688069565966e-07,0.0
695,0.0,0.0
696,0.0,3.276673266170488e-08
697,0.0,1.1779182965730585e-07
698,0.0,0.0
699,2.5241117816812418e-08,0.0
700,2.7543677836561133e-08,1.8701331836447142e-07
701,0.0,4.5225998022138996e-08
702,1.4118452738995216e-08,2.3480503868647654e-08
703,6.563571838396454e-07,1.5335374923752347e-07
704,6.595361490698579e-07,0.0
705,5.965882412833639e-08,0.0
706,6.472784218518478e-08,9.734592062626812e-08
707,0.0,0.0
708,3.3332471330869775e-08,0.0
709,9.004811933687943e-07,0.0
710,2.806446026749504e-06,0.0
711,1.9976689915120575e-07,0.0
712,3.4383637210683066e-07,7.352616207198467e-08
713,1.5914007512393465e-08,1.3635333333332998e-07
714,7.737478576256473e-08,5.818299955521053e-08
715,1.0977923432400795e-07,8.254994964892569e-08
716,7.463649778866935e-07,7.158379515317647e-08
717,2.501377083329845e-06,3.344229387418793e-08
718,1.5381417426990221e-06,0.0
719,0.0,4.9774489316126056e-08
720,0.0,1.8948128605313422e-07
721,5.824806028905698e-08,4.66275470987907e-08
722,3.153296262198894e-07,5.9026984134011383e-08
723,8.520250797758585e-07,0.0
724,1.8974374891226093e-06,6.977538011524503e-08
725,2.9490189662951364e-07,4.133817052391322e-08
726,0.0,1.4373413834103453e-07
727,1.760915914697524e-08,0.0
728,4.4475169237393236e-08,0.0
729,0.0,2.186749845295611e-07
730,8.199824983623144e-08,8.924034652184258e-09
731,8.504304918633846e-07,1.239105901293281e-06
732,1.0776758198974163e-06,8.140158728304245e-08
733,5.302797297946235e-07,0.0
734,1.8051503966925936e-06,1.566430740159159e-07
735,2.1236309924270643e-06,0.0
736,1.7220113297863954e-06,0.0
737,2.109850293273544e-06,0.0
738,4.4165587174970696e-07,2.1246664661468364e-06
739,2.3804933851056247e-08,3.6288618209148855e-06
740,4.377619396543066e-08,2.2336396337059975e-06
741,0.0,3.0851941597053703e-06
742,3.1032693531887555e-06,0.0
743,1.4087999348227156e-06,4.747288584543145e-08
744,1.5086925188764523e-06,7.987351391557496e-08
745,1.4277737558058615e-06,0.0
746,3.4194312763514096e-06,1.3829303761207433e-07
747,7.367207708474642e-07,5.300266628095706e-08
748,6.980557178131602e-07,7.950366584758451e-08
749,7.278432259802657e-07,0.0
750,2.6750048099064e-07,1.2661193737289035e-08
751,1.918189288307987e-06,1.8585524806690874e-07
752,9.217888682018551e-07,7.848773953279238e-08
753,2.705669127870443e-07,0.0
754,1.2649464526504977e-07,5.139580949306083e-07
755,2.449302783235468e-07,4.296095248947763e-06
756,1.0810172703925446e-07,2.853639748240582e-06
757,1.3666627665460302e-08,4.5580135590988833e-07
758,0.0,2.5720586406102347e-07
759,0.0,5.078321182109779e-08
760,1.6213055018931427e-06,0.0
761,3.132411591810129e-06,0.0
762,3.231028251937416e-07,8.878340487758278e-08
763,2.930122492235509e-06,3.809234013394692e-07
764,3.8636332566654715e-06,3.687597297743698e-06
765,9.383311328158312e-08,1.32380205011024e-07
766,1.7363622205831809e-06,4.95453182632323e-06
767,1.5332363861275613e-06,4.135263256153662e-06
768,6.141962367228508e-07,1.1658777835784614e-06
769,2.7382225316861475e-06,2.2020181735706605e-07
770,3.13418449956469e-06,6.310860209403662e-08
771,2.1240141843768785e-06,0.0
772,2.9682311033382806e-07,2.1038884457499112e-07
773,1.5551189374311674e-06,1.1369699737087325e-07
774,1.951438408677426e-07,2.1480059327862262e-07
775,9.73892696001537e-08,7.35995586625952e-08
776,0.0,2.0960765495494975e-06
777,1.6608249806562125e-07,5.147429850863052e-06
778,5.812169368917781e-07,2.609363483548379e-06
779,8.686266086686983e-07,6.34225400767593e-07
780,2.2270056194816778e-07,8.999684874191931e-06
