Wavelength,red,blue
380,0.0,0.0
381,9.0640453844e-08,0.0
382,6.41570444957e-09,1.2613136877e-07
383,0.0,2.30834652107e-07
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,1.07088187731e-07
388,0.0,9.87077542113e-09
389,0.0,8.32138762208e-08
390,0.0,8.56616192109e-08
391,0.0,1.35820864962e-07
392,8.23185200677e-08,4.08951788596e-06
393,0.0,1.06968783627e-06
394,0.0,1.73724476395e-06
395,0.0,0.0
396,1.18730377995e-07,6.82998809513e-08
397,1.1613394495e-07,1.11658450902e-07
398,4.873090368e-10,5.60650844362e-10
399,0.0,1.82637722169e-07
400,0.0,0.0
401,0.0,6.42793028436e-08
402,0.0,1.05548583556e-06
403,0.0,6.07919495945e-08
404,0.0,2.85448071003e-07
405,0.0,0.0
406,0.0,0.0
407,0.0,0.0
408,0.0,0.0
409,0.0,4.35797367897e-07
410,0.0,4.89936302208e-07
411,0.0,7.93431816339e-07
412,0.0,2.7385343264e-06
413,0.0,1.58866722518e-06
414,8.93130215494e-08,6.14331528598e-06
415,0.0,6.82567580921e-06
416,0.0,4.07241604254e-06
417,0.0,4.726924334e-06
418,0.0,6.72472671489e-07
419,0.0,2.82886405304e-06
420,0.0,7.22439267823e-06
421,0.0,7.45605548242e-06
422,0.0,6.70019363413e-06
423,0.0,7.50493503097e-06
424,2.33313554113e-09,7.66201593079e-06
425,6.60422000238e-08,3.67481748067e-06
426,0.0,6.923701509e-06
427,0.0,8.49121376433e-06
428,1.27429958272e-07,1.12909113774e-05
429,0.0,9.40880174666e-06
430,0.0,1.38266562627e-05
431,0.0,1.62767219512e-05
432,0.0,1.89810506411e-05
433,1.17453897945e-07,2.22069142522e-05
434,1.9386531078e-09,2.1041989932e-05
435,0.0,2.56454317168e-05
436,0.0,2.88546399941e-05
437,0.0,3.46782204148e-05
438,4.92800510295e-08,3.93951271108e-05
439,1.93210157559e-09,4.70924267956e-05
440,0.0,5.30917877417e-05
441,0.0,6.41328475673e-05
442,0.0,7.57956174471e-05
443,0.0,9.13046405671e-05
444,8.5187501891e-07,0.000107774990525
445,2.63636959889e-08,0.000122194409358
446,1.10896040299e-07,0.000147909831433
447,0.0,0.000175501869351
448,0.0,0.00020107323445
449,0.0,0.000231754470673
450,4.6307072064e-08,0.000276070209967
451,0.0,0.000324135175278
452,0.0,0.000375573060662
453,3.89007169428e-08,0.000432958363708
454,3.52869673912e-09,0.000500108633626
455,0.0,0.000580710971252
456,0.0,0.000668304970452
457,0.0,0.000770293137861
458,0.0,0.000884411973034
459,0.0,0.00101114170131
460,0.0,0.00116670022918
461,0.0,0.00133875978488
462,0.0,0.00154280041079
463,0.0,0.00178593484106
464,0.0,0.00206068798684
465,4.74891501775e-08,0.00239963806186
466,0.0,0.00277633914631
467,0.0,0.00320854773927
468,0.0,0.00370932325932
469,0.0,0.0042698407391
470,4.84294802764e-08,0.0048638721325
471,0.0,0.00549517896414
472,0.0,0.0061413100593
473,0.0,0.00677731267203
474,5.38283836327e-08,0.00740289317051
475,0.0,0.00793115377322
476,0.0,0.00832153944637
