Wavelength,red,blue
380,9.08481520275e-08,0.0
381,1.54647663322e-08,2.62431103355e-07
382,0.0,1.85580346408e-08
383,0.0,2.05504616727e-06
384,0.0,1.29792389512e-06
385,0.0,1.74195049082e-06
386,0.0,3.18788325117e-06
387,0.0,4.7761322281e-07
388,0.0,2.23151827582e-07
389,0.0,3.07403027792e-06
390,0.0,3.72299222548e-06
391,0.0,1.05883265128e-06
392,0.0,0.0
393,0.0,0.0
394,0.0,0.0
395,0.0,0.0
396,0.0,8.59589948084e-08
397,2.20269827079e-07,2.76093460146e-08
398,1.37668641924e-09,2.79509049344e-07
399,0.0,1.14991502989e-07
400,0.0,0.0
401,0.0,0.0
402,0.0,0.0
403,0.0,0.0
404,0.0,0.0
405,0.0,4.79890282275e-08
406,0.0,6.60347244886e-08
407,0.0,0.0
408,4.82171421764e-08,1.32638713843e-07
409,0.0,0.0
410,0.0,0.0
411,0.0,1.4231621657e-07
412,0.0,3.81976725274e-07
413,0.0,9.27901732038e-07
414,0.0,4.21825265914e-06
415,0.0,3.03418173728e-06
416,0.0,2.84367047162e-06
417,0.0,3.54517929724e-06
418,0.0,3.26188768379e-07
419,0.0,1.70076393875e-06
420,0.0,1.5974111496e-06
421,0.0,1.97684003665e-06
422,0.0,3.48861470267e-06
423,0.0,1.68432951442e-06
424,0.0,4.98131880808e-06
425,0.0,4.68060583744e-06
426,0.0,6.31327298111e-06
427,0.0,7.73072033507e-06
428,8.96611155097e-08,7.36367935081e-06
429,0.0,1.01e-05
430,0.0,1.24277059465e-05
431,0.0,1.25569264866e-05
432,0.0,1.41476172942e-05
433,0.0,1.47906908076e-05
434,7.40897550515e-08,1.61448097378e-05
435,0.0,1.9852161075e-05
436,0.0,2.41538972994e-05
437,0.0,2.92337643209e-05
438,0.0,3.24461027006e-05
439,0.0,4.00614702674e-05
440,0.0,4.19337643209e-05
441,0.0,5.26755448715e-05
442,0.0,6.34677502727e-05
443,0.0,7.64246767593e-05
444,0.0,8.98214259413e-05
445,0.0,0.000106722940535
446,0.0,0.000124722940535
447,0.0,0.00014644588107
448,0.0,0.000171876616203
449,0.0,0.000197015145936
450,0.0,0.000237168821605
451,0.0,0.000279753232407
452,0.0,0.000326753232407
453,0.0,0.000381045437808
454,0.0,0.00044289176214
455,0.0,0.000507614702674
456,0.0,0.00058462984861
457,0.0,0.000678352789145
458,0.0,0.00078607572968
459,0.0,0.000906352789145
460,0.0,0.00103584410802
461,0.0,0.00121015145936
462,0.0,0.0014044588107
463,0.0,0.00163307351337
464,0.0,0.00188168821605
465,0.0,0.00220168821605
466,0.0,0.00256461027006
467,0.0,0.00297461027006
468,0.0,0.00345183967541
469,0.0,0.00398045437808
470,0.0,0.00453337643209
471,0.0,0.0051162984861
472,0.0,0.00571644994546
473,0.0,0.00627937199948
474,0.0,0.00681367935081
475,2.20269827079e-08,0.00727660140482
476,1.12252892646e-07,0.0076152161075
477,0.0,0.00784244551285
478,0.0,0.00788090875616
479,0.0,0.00780952345884
480,0.0,0.00760952345884
481,0.0,0.00725952345884
482,0.0,0.00692229405349
483,0.0,0.00644229405349
484,0.0,0.0060007572968
485,0.0,0.00552922054012
486,0.0,0.00508352789145
487,0.0,0.00469768378343
488,0.0,0.00433476172942
489,0.0,0.00400337643209
490,2.79012609301e-08,0.00373476172942
491,0.0,0.00350614702674
492,0.0,0.00327753232407
493,0.0,0.0030689176214
494,0.0,0.00290461027006
495,0.0,0.0026989176214
496,0.0,0.00251168821605
497,0.0,0.00232030291872
498,0.0,0.00215030291872
499,0.0,0.00197738086471
500,0.0,0.00179876616203
501,0.0,0.00164307351337
502,0.0,0.0014944588107
503,3.0576724307e-08,0.0013444588107
504,0.0,0.00121584410802
505,0.0,0.00110015145936
506,0.0,0.000998443664761
507,0.0,0.000906244551285
508,2.9988710378e-08,0.000844090875616
509,0.0,0.000772506464814
510,0.0,0.000714660140482
511,1.75816164765e-08,0.00065607572968
512,3.35167939519e-08,0.000612214259413
513,2.15801111936e-09,0.000558783524279
514,0.0,0.00051789176214
515,0.0,0.000482614702674
516,0.0,0.000437476172942
517,0.0,0.000402768378343
518,0.0,0.000371337643209
519,0.0,0.000332753232407
520,0.0,0.000310461027006
521,0.0,0.000281614702674
522,4.82171421764e-08,0.000256030291872
523,5.79193720046e-11,0.000226307351337
524,0.0,0.000212168821605
525,0.0,0.000191599556738
526,3.58688496678e-08,0.000174584410802
527,9.81983261397e-09,0.000158292205401
528,5.49262581627e-09,0.000142722940535
529,1.28159798387e-07,0.000134738086471
530,4.41010446735e-08,0.000125015145936
531,9.61402773883e-09,0.000113153675669
532,0.0,0.000109292205401
533,0.0,9.6262984861e-05
534,0.0,8.97844108023e-05
535,0.0,8.04476172942e-05
536,0.0,7.33768378343e-05
537,0.0,7.22582194494e-05
538,0.0,6.48123383797e-05
539,0.0,5.84461027006e-05
540,3.89708155601e-08,5.57383081017e-05
541,1.8073421709e-08,5.33738086471e-05
542,0.0,4.63352789145e-05
543,0.0,4.37277059465e-05
544,0.0,3.98569264866e-05
545,0.0,3.6110823786e-05
