Wavelength,background,modulation
380,1.5179569304612045e-06,8.173529819966354e-08
381,7.182127927859667e-06,2.1022035136285458e-07
382,2.396053781814576e-06,4.702453954424064e-08
383,4.10491795251905e-06,2.900273451637882e-07
384,3.5277878213332957e-06,3.5542466049180597e-07
385,5.930339877802474e-06,1.3168749584175824e-07
386,2.519487765342496e-06,2.365414068585492e-07
387,5.044004841246173e-06,2.103497759822988e-06
388,5.577207992544327e-06,1.8847914205560313e-06
389,9.216659332460642e-06,4.046600904805469e-06
390,8.696699872977907e-06,2.1833480535715927e-06
391,8.733211710070391e-06,2.4404020981084814e-06
392,1.0385470180620373e-05,2.2167608030677367e-06
393,8.314964560852697e-06,1.7718054440625805e-06
394,1.2917676240293612e-05,2.3837132072647887e-06
395,1.8134176184414883e-05,4.1852784131384364e-06
396,1.947288276623676e-05,4.524507906276934e-06
397,1.8148441024858407e-05,6.71528381972602e-06
398,2.682027887936772e-05,7.573875154181526e-06
399,3.637320999013827e-05,9.144129246766402e-06
400,3.8859492140426165e-05,9.565578810586151e-06
401,5.328210977287132e-05,1.240101383798914e-05
402,7.119904185608826e-05,1.5122346778879767e-05
403,9.149986629504855e-05,2.03983306984973e-05
404,0.00011190767765044146,2.3584953025086473e-05
405,0.0001368354893101646,2.9299314627995713e-05
406,0.0001737919333534097,3.856747743608909e-05
407,0.00020985381375058005,4.9366455939627166e-05
408,0.0002683156981291683,5.931769414537804e-05
409,0.00032730891610664264,7.293707721061613e-05
410,0.0003998296596725147,9.154347929354887e-05
411,0.000488235889376005,0.00011030623956191433
412,0.0006029382500965065,0.00013490748486596964
413,0.0007218215121698636,0.00016673520803952365
414,0.0008738081405930508,0.00019975610988232743
415,0.0010591143049231107,0.00022939225529836272
416,0.0012872294444651847,0.00028074151521790863
417,0.0015431822458585875,0.0003327754904523989
418,0.0018302369376915616,0.00039504433716801627
419,0.002216529775539668,0.0004831874491424816
420,0.0026148942206065066,0.0005748200597560242
421,0.0031001079602348065,0.0006818261216844534
422,0.003662601187100909,0.0008019089410264118
423,0.004222862830989293,0.0009124791521623229
424,0.004804346783098715,0.0010344380724297525
425,0.005319394602623861,0.00113544784317316
426,0.005705593550971418,0.0012118276855451375
427,0.005955714354936042,0.0012606365907213354
428,0.0060561154016799635,0.0012774840899799798
429,0.005978013451456742,0.0012560065132114634
430,0.005522878725120697,0.00116752918549697
431,0.005042540375106928,0.0010706617385677908
432,0.004502624071855345,0.000961855715672958
433,0.003898787053199303,0.0008479094763398376
434,0.0033689751749722075,0.0007398101259283949
435,0.0029339252792451166,0.0006618222223215004
436,0.0025932953558198226,0.0006027395231658128
437,0.0023520319384196056,0.0005595341389086257
438,0.0021373469517452135,0.0005322128608291893
439,0.001957477233357175,0.00051725559041048
440,0.0018114927451475754,0.0005055120820889071
441,0.0016804623030264897,0.0004997737874140168
442,0.001559605828989436,0.0004968741882791981
443,0.0014296312654034876,0.0004950501415032944
444,0.0013003830123481054,0.0005087216719289628
445,0.0011773593393757348,0.0005224550308945209
446,0.0010684798570952771,0.0005420880532022988
447,0.0009818924680898662,0.0005760817491301851
448,0.0009079715676554883,0.0006162939418728501
449,0.0008721252475942221,0.0006747633602008014
450,0.0008491717778169661,0.0007497652663590988
451,0.0008453417612806979,0.0008399793559409691
452,0.0008639321686547524,0.0009411329794201008
453,0.0008917364393455361,0.0010554007228866678
454,0.0009375797631280011,0.0011877578093832267
455,0.0009755575036041973,0.001319613158530111
456,0.0010072749530437772,0.0014469722784437207
457,0.0010388037223543337,0.001582104544779867
458,0.0010499354219582503,0.0016942688108307763
459,0.001052783947887811,0.00179512636584786
460,0.0010229263524118774,0.0018808347241827846
461,0.0009904285846418063,0.0019764098826998296
462,0.0009437498596624553,0.002063201830088791
463,0.0008938319872663552,0.002171727658850069
464,0.0008462743217542008,0.0023169399107776448
465,0.0008071349884733273,0.0024863146481950266
466,0.0007756003505802391,0.0027195998615858986
467,0.0007556678159697867,0.0029815396436627703
468,0.0007550720547077533,0.003312325072293256
469,0.000764324649496071,0.0036740288671448518
470,0.0007801362311147957,0.004108900370878059
471,0.000805676931181485,0.004576090167925927
472,0.0008301066317605545,0.005040552892260595
473,0.0008521874583175504,0.005493126211545195
474,0.0008663848004259339,0.005965957621646528
475,0.0008740764648492442,0.006304825791175946
476,0.0008735875685892111,0.0065820401510131325
477,0.0008577885278703897,0.006756606422281609
478,0.0008341089521924817,0.006813519209361182
479,0.0007958146943677791,0.006790178050694497
480,0.0007573990554192571,0.006618664845931068
481,0.0007031495328583957,0.006331323920329857
482,0.0006628263220606491,0.006038644311948113
483,0.0006144099351565528,0.0056557826525738455
484,0.0005698757965191016,0.005279495656634476
485,0.0005256053898887877,0.004877853451023926
486,0.0004833427034060076,0.004469566599755301
487,0.00044978717148131455,0.004142438626651255
488,0.0004208232880656323,0.0038216905367759986
489,0.0004013684416685586,0.003533630363947371
490,0.0003709016733722072,0.0032946084168185607
491,0.0003554324659422982,0.0030876747234589064
492,0.00033949673038170943,0.0028897897441702066
493,0.00032779734384585636,0.002719620197587349
494,0.00031038116090751017,0.0025309419476823394
495,0.00029843911419314393,0.002400278764924279
496,0.0002848667540978147,0.002239828248093862
497,0.0002760536764222419,0.002080699673029991
498,0.000270807987740402,0.00192911001800805
499,0.00026345105825177276,0.0017738034663579857
500,0.0002611102594358915,0.0016485542144367919
501,0.0002609609325968954,0.0015178300357190102
502,0.0002627753651432933,0.0013821989870815641
503,0.0002723938170775191,0.0012644174597242566
504,0.00028117075670461994,0.0011608703765890684
505,0.00028846300103493335,0.001076157189886859
506,0.0003085554717217235,0.0010086680119145302
507,0.00032901469590340855,0.0009451188562228818
508,0.00035463312917146994,0.000884831045832478
509,0.0003814138655495049,0.0008534947936874435
510,0.00041803145702166397,0.0008331985814017491
511,0.0004521393057708731,0.0008043774365567052
512,0.0004917471542119571,0.0007814764193006094
513,0.0005337231226964374,0.0007634800737419884
514,0.0005758327912208397,0.0007578554709387155
515,0.0006268043438485932,0.0007529801224490604
516,0.0006728288665704457,0.0007497715897961726
517,0.000723037771723717,0.0007488770839185355
518,0.0007764256403734995,0.0007475519199603004
519,0.0008050518991361062,0.0007459920884500081
520,0.0008423534575702807,0.0007362649255237786
521,0.0008715192283776477,0.0007269077272850325
522,0.0008879483084535251,0.0007186506807584204
523,0.0009114563676705711,0.0007161968774424822
524,0.0009096696687094177,0.0006882758660861628
525,0.00090972929805818,0.0006751577569920322
526,0.0008914941808835919,0.0006519259142670482
527,0.000870335836402416,0.0006267031455721315
528,0.0008421506182591471,0.0005993303141072153
529,0.0008062252031986769,0.0005658798564490661
530,0.0007698227492583883,0.0005391063700157969
531,0.0007293857640429523,0.0005057304786713008
532,0.00068694309717152,0.0004757085986769306
533,0.0006451519214354933,0.00044700064504079055
534,0.0006075736827770854,0.00041777267120497903
535,0.0005704494116292469,0.00039007240816731515
536,0.0005339781998020894,0.00036652329268959554
537,0.0004976486875811644,0.0003389499990140432
538,0.00047251003191781343,0.0003167999843840992
539,0.00045159431860237385,0.0003001078975404629
540,0.00042880479507708536,0.0002855594953913483
541,0.00040784076528953186,0.0002684670548825027
542,0.0003797920155252084,0.00025871215772027773
543,0.00036478687223513126,0.00023927153846469923
544,0.0003517267883770206,0.00023085994050638564
545,0.00033809678620870455,0.00021932438792549995
546,0.00032444769969540015,0.00020736794867151536
547,0.00031387664961050925,0.00019482720477767223
548,0.000303841021314952,0.00018775726153286043
549,0.0002881194038713601,0.00017536274664418423
550,0.0002771681124446267,0.0001668551784083676
551,0.0002704471133624237,0.0001618528365507249
552,0.0002691371231552171,0.00015488257183183634
553,0.0002643023603205304,0.0001540562751541238
554,0.000263097577122417,0.0001471260598088207
555,0.00026948908432102134,0.0001472141363496123
556,0.00026872009470144207,0.00014109459697446707
557,0.00027852641557825526,0.00014452755377609554
558,0.00029269173747416966,0.00014843141215491475
559,0.00031121063686462936,0.00015300257229278557
560,0.00033127372321255894,0.00015720368462079527
561,0.0003451133236171614,0.00016644591811675787
562,0.0003869994264452503,0.00017922074848229747
563,0.0004303574813563421,0.00019189960094343367
564,0.00046674364836816855,0.0002150353004703659
565,0.0005201985394433659,0.00022898318645268227
566,0.0005864949220970835,0.0002541799652939257
567,0.0006622310586108966,0.0002823693109331464
568,0.0007366593666245944,0.00031273537164951793
569,0.000830872651106123,0.00034590303783839783
570,0.0009420352591727489,0.0003957093373979148
571,0.0010756264205668959,0.0004421009109566776
572,0.0012271683959216998,0.0005081755938365789
573,0.001386853781218979,0.0005752272185718635
574,0.0015853550141423055,0.0006522347555794049
575,0.0018101522959313022,0.000747541446828365
576,0.002091866875472551,0.0008621312869089365
577,0.0023637484814890944,0.0009781154900100277
578,0.002686483524632537,0.0011114864966131374
579,0.003060981972875979,0.0012653221257345306
580,0.0035565676662359536,0.001462106366233764
581,0.0040990150016041,0.0016917388385002815
582,0.004679782929485551,0.0019394940081611015
583,0.005343212361520461,0.002223040774019282
584,0.0061304899746608575,0.00253940686395727
585,0.006979470795742479,0.00292683214429841
586,0.007971942855206976,0.003336671115479778
587,0.00904843423116179,0.0037859089404233457
588,0.010087443824901492,0.004254319577850411
589,0.011366953906754322,0.004767949844924109
590,0.012636385932905876,0.005302958700659955
591,0.013904342140476157,0.0058140723844492025
592,0.01487867798855156,0.006181914285789708
593,0.015236580802965785,0.006277960717291298
594,0.014865591670577412,0.0060857987711620985
595,0.013898489297517825,0.005670889696549584
596,0.012428181254514111,0.005056855620328051
597,0.010577828145430348,0.0043448024314196535
598,0.008718079236230736,0.003691964745330112
599,0.007059752746759452,0.00313264301249108
600,0.00574923387823262,0.002685078140147072
601,0.004734623400386861,0.002373545808033253
602,0.0038988337580763955,0.0021354144920488188
603,0.0032019680842331182,0.001971243334531893
604,0.002636257511514537,0.0018659670281446334
605,0.002165564641917703,0.0018151710903495644
606,0.0017827610561235126,0.0018160566200498044
607,0.0014864599131464737,0.0018630921325349038
608,0.0012355732990079905,0.0019271062043407909
609,0.0010440715910049114,0.00207523392699294
610,0.0008926717165217778,0.00225687036765134
611,0.0007792806103751229,0.0025004800214287197
612,0.0007260105271717004,0.0027944124712647534
613,0.0006804587778402767,0.0031441550764455908
614,0.0006598928822502432,0.003515985812887509
615,0.0006442769870060258,0.003961188826945812
616,0.0006513848003622254,0.004420179631159106
617,0.0006668153802106891,0.005004248369824631
618,0.0007058291567866405,0.005622567084270502
619,0.0007442029925034618,0.006285514360611731
620,0.0007763309863238682,0.006934745972673556
621,0.0008348840365911771,0.007665673653253359
622,0.0009003949568422939,0.008479031132756883
623,0.0009548906176013899,0.009348180051478519
624,0.0010425763812968092,0.01044761248948514
625,0.001152921911102788,0.011717957479878154
626,0.0012607363606398567,0.013075839516224515
627,0.0013868227109706996,0.014517323476296579
628,0.0014789275153283446,0.01572811453091141
629,0.001551038694141556,0.016599543111462944
630,0.0015869265076901486,0.016853120228921253
631,0.0015159427827202232,0.01621417166497507
632,0.0013988791616492574,0.014683719505676283
633,0.0012192472758415424,0.012517201670803921
634,0.0010031871718302677,0.0100879436868382
635,0.0008076343699689053,0.007892307918047906
636,0.0006354296475846295,0.0061206945831297115
637,0.0005010415542805837,0.00471539427405339
638,0.00038751714123067953,0.0037105193414991686
639,0.00031207663625428754,0.0029378779505485984
640,0.00025634660845043404,0.0023672177529691237
641,0.00021404867156694292,0.0019102110770530458
642,0.00017491042886059538,0.001552901402166773
643,0.00014010744470811654,0.0012426497421412423
644,0.00011227790930574291,0.00099908625157614
645,8.999025537352164e-05,0.0008107367924645006
646,7.144425735518882e-05,0.0006435722372035821
647,5.728175743577279e-05,0.0005170563532124534
648,4.917020034308553e-05,0.00041519321192839606
649,4.127324383321115e-05,0.0003369230123915012
650,3.339694799524418e-05,0.0002842149327439912
651,2.627899141278828e-05,0.00022779749740484993
652,2.3692502136723084e-05,0.00018591037126246482
653,2.1875337135271668e-05,0.00016286115611692384
654,2.0948126429399275e-05,0.00014518230573179588
655,1.6956024568301883e-05,0.0001244914556079606
656,1.5046693502541302e-05,0.00010675828584551628
657,1.2597481501286391e-05,9.503987501584649e-05
658,1.0903881245582214e-05,8.876066385245048e-05
659,9.527000796047932e-06,6.914811984992475e-05
660,5.682629151586048e-06,6.067101800798711e-05
661,6.990593292486721e-06,5.171464333127966e-05
662,8.154083077824256e-06,4.4907253637395594e-05
663,7.611237836963474e-06,4.080374521538713e-05
664,9.326486747077457e-06,3.255899764582542e-05
665,8.889111441228034e-06,2.740783081593776e-05
666,5.785442168503971e-06,2.4794172612365085e-05
667,5.097985325596338e-06,2.0737342374225943e-05
668,1.1195996176114846e-06,1.7148633887341413e-05
669,1.429321332779954e-06,1.6908210570922564e-05
670,2.5159796876801897e-06,1.7129004824552248e-05
671,3.6401097068905268e-06,1.012908016263722e-05
672,4.007013504261512e-06,1.2641723438060466e-05
673,4.622560434834983e-06,8.252362559127834e-06
674,3.790119938588225e-06,4.86213974669492e-06
675,4.5210315380530576e-06,1.0580012690766148e-05
676,3.2645718788916207e-06,1.0869016770269173e-05
677,3.5678012448073078e-06,2.3780184400126736e-06
678,2.400750659880554e-06,5.442171148507172e-06
679,2.4176739650926553e-06,4.259774884681439e-06
680,3.0052697425992343e-06,7.170552939501322e-06
681,3.2747928555805593e-06,3.400149641860742e-06
682,4.922628877679862e-07,7.267231905965808e-06
683,1.8309483750675536e-06,8.985374156920263e-06
684,1.7215304173096603e-06,3.247866143173422e-06
685,6.61440961720841e-07,7.743171262196621e-06
686,1.5578134827135047e-06,5.568050861753633e-06
687,1.8019176692315e-06,5.114036236142653e-06
688,2.890218268675282e-06,3.494891897611491e-06
689,4.3009493390427777e-07,1.877556161675343e-07
690,7.641988629064452e-07,4.393060294939495e-08
691,4.0074271518273655e-08,3.076136676566324e-07
692,4.2647648553123294e-08,1.9658877275638865e-07
693,2.8878886287421755e-07,6.671379109724542e-07
694,3.113295806958604e-07,5.064286986510477e-06
695,1.591187095047631e-07,3.338438113278574e-06
696,3.400117507630103e-08,1.3024825493926687e-06
697,8.859721290269959e-07,2.3156867114781085e-07
698,4.5950136247286416e-07,4.846998668426513e-07
699,9.440925359028736e-07,1.8789988270089475e-07
700,3.2708790749077076e-06,2.2162172720922774e-07
701,1.0807604809769029e-06,2.8242971886782915e-07
702,1.3820617199480088e-06,1.0350964038524339e-07
703,5.513508157444137e-07,3.6014675536281893e-07
704,7.94011305825401e-07,2.2169287829492116e-07
705,1.5238781534254327e-06,7.022441524622843e-08
706,6.326302902413845e-06,3.591683940901445e-07
707,1.515346533820631e-06,9.281320315499977e-08
708,8.840172762827021e-07,1.532862278572136e-07
709,1.7633060279425857e-06,6.380893105760952e-08
710,2.611045605441039e-06,1.9059589291836474e-07
711,2.152355835595586e-06,1.0451750370904106e-07
712,1.2916410927762032e-06,1.3661163437651562e-08
713,1.8571920273902132e-06,1.0102817644172546e-07
714,2.0346585249355424e-07,1.1202243347687209e-07
715,2.6758430251216856e-06,3.3977090411366795e-08
716,1.2896553952883973e-06,4.9118984689735375e-08
717,1.235623547578798e-06,1.7683997233379066e-07
718,4.905983701076253e-07,6.743199694766018e-07
719,1.2627181056710738e-07,5.273683713019882e-07
720,5.001706641174521e-07,1.145764142472719e-06
721,2.699826047599926e-06,5.853587018146479e-07
722,4.796114228158282e-06,1.1141998056473421e-08
723,2.1485015550681773e-06,3.2930583618518243e-07
724,1.1168177163938948e-06,4.7852322576762615e-08
725,1.410714301087067e-06,1.189405453782144e-07
726,3.2691676227825916e-06,8.903199223205852e-08
727,3.834605494042694e-06,2.0418713385300677e-08
