Wavelength,red,blue
380,0.0,0.0
381,9.669391763845906e-08,1.3642854615146847e-07
382,6.844180179268008e-09,1.5357913518910536e-07
383,0.0,2.633943625730721e-07
384,0.0,0.0
385,0.0,0.0
386,0.0,0.0
387,0.0,1.2219320058373813e-07
388,0.0,1.1263068938818422e-08
389,0.0,9.495136750204176e-08
390,0.0,6.864309711671416e-08
391,0.0,1.4749665812873e-06
392,8.78161997428266e-08,4.979245449374652e-06
393,0.0,1.5063762257827545e-06
394,0.0,1.9822867713232435e-06
395,0.0,0.0
396,1.2665984010613164e-07,7.793372200740046e-08
397,1.238900031028571e-07,1.2740810893325563e-07
398,5.198541917044636e-10,6.397318185497387e-10
399,0.0,8.671145386394382e-07
400,0.0,2.9370325575042297e-06
401,0.0,3.5023642914370833e-06
402,0.0,4.07933455158561e-06
403,0.0,1.7540937686550895e-07
404,0.0,4.50191520604695e-07
405,0.0,0.0
406,0.0,0.0
407,0.0,0.0
408,0.0,1.3800655258095924e-07
409,0.0,1.6746973865639988e-07
410,0.0,9.62197163787215e-07
411,0.0,1.0536352663442263e-06
412,0.0,3.1248103207260066e-06
413,0.0,6.400941681202117e-07
414,9.527783217637161e-08,2.9583040245544266e-06
415,0.0,1.8112640160230173e-06
416,0.0,1.126355327673272e-06
417,0.0,8.320331381184724e-08
418,0.0,0.0
419,0.0,2.7134477007614152e-06
420,0.0,4.705262658494102e-06
421,0.0,3.012044723787086e-06
422,0.0,3.3726193309829967e-06
423,0.0,5.9138347059356225e-06
424,2.4889550557848327e-09,4.832997323460997e-06
425,7.0452858287274e-08,4.263548516249797e-06
426,0.0,5.417131681024215e-06
427,0.0,6.194631157185794e-06
428,1.3594042579535324e-07,7.2560434607765515e-06
429,0.0,9.084825156131526e-06
430,0.0,1.1482645332644274e-05
431,0.0,1.3930072984682961e-05
432,0.0,1.681456516320578e-05
433,1.2529810975692374e-07,2.0168310537341742e-05
434,2.0681269343351843e-09,1.7833976395019924e-05
435,0.0,2.2126425173782132e-05
436,0.0,2.4554694654015498e-05
437,0.0,2.9707807020666533e-05
438,5.2571241574552694e-08,3.758636505785686e-05
439,2.0611378550748667e-09,4.2898504005242206e-05
440,0.0,5.0539600067560405e-05
441,0.0,6.0492964674012895e-05
442,0.0,7.090066509778524e-05
443,0.0,8.402927644391946e-05
444,9.087678781765706e-07,9.862892668241409e-05
445,2.8124407375325843e-08,0.0001192631379390084
446,1.1830228261609147e-07,0.00013852918601464626
447,0.0,0.00016339303672331207
448,0.0,0.00018803415626302645
449,0.0,0.0002209914722070458
450,4.939971086135634e-08,0.0002592976935700074
451,0.0,0.000308101652225681
452,0.0,0.00035142194270726206
453,4.149871895629498e-08,0.00040449138549133865
454,3.764362350287932e-09,0.00047541772433780545
455,0.0,0.0005479640398911223
456,0.0,0.00063116460612195
457,0.0,0.0007314306663835014
458,0.0,0.0008355380275147417
459,0.0,0.0009608575316225263
460,0.0,0.0011036124653795985
461,0.0,0.0012710886501752826
462,0.0,0.0014666103390815228
463,0.0,0.001706725922164294
464,0.0,0.0019643139654495763
465,5.066073459741054e-08,0.0022628334277310746
