Wavelength,background,modulation
380,7.54651138196e-07,6.84996150339e-06
381,4.58250015268e-07,8.44507115186e-06
382,7.59775255067e-08,6.33735736774e-06
383,6.66023357834e-07,9.4896551033e-06
384,7.0350749739e-08,1.12929018991e-05
385,1.28985936314e-07,1.39609173491e-05
386,1.14247509328e-07,1.29989198439e-05
387,5.16473519873e-07,1.31136963729e-05
388,1.937091412e-07,1.10660869575e-05
389,9.44462593974e-07,9.82791626399e-06
390,5.80769938214e-07,1.12937366639e-05
391,5.57786461182e-07,1.67413761258e-05
392,1.39186112909e-07,1.7785587346e-05
393,4.63027640953e-07,2.01477431067e-05
394,1.43200556434e-06,2.24056332567e-05
395,1.479199228e-06,2.93138415123e-05
396,1.78237294005e-06,3.41379907366e-05
397,1.81546111234e-06,3.9293585632e-05
398,5.53526852521e-06,4.07621359468e-05
399,4.2651377308e-06,6.08308084539e-05
400,5.81197936287e-06,7.1908637963e-05
401,5.42938769943e-06,8.63891232135e-05
402,6.45110944026e-06,0.00010982519076
403,6.98728653916e-06,0.000143202522083
404,1.01194630315e-05,0.000176585437213
405,1.19559476807e-05,0.000218985213427
406,1.48906230277e-05,0.000277294293053
407,1.85059909163e-05,0.00034603486432
408,2.3041143851e-05,0.000432993726152
409,2.70259862346e-05,0.00054297366099
410,3.26743779561e-05,0.000663368254128
411,4.25597932814e-05,0.000803978221173
412,5.08747419975e-05,0.00098709320787
413,6.07571796283e-05,0.00121207279676
414,7.23376241757e-05,0.00144820020982
415,8.78704256558e-05,0.00177087107862
416,0.000107488279395,0.00214744841785
417,0.000130699185547,0.00259173697717
418,0.000159144593813,0.00312882486151
419,0.000189494730339,0.00376634192055
420,0.000221937250392,0.00446871549467
421,0.000262863262206,0.00532810289044
422,0.000311784563096,0.00632045791303
423,0.000364976813826,0.00727944266332
424,0.000407549760578,0.00825697939463
425,0.000448212191044,0.00910558643974
426,0.000479743106717,0.00974477803391
427,0.000497442702764,0.0100902364272
428,0.000501455920126,0.0101340836847
429,0.000491286705685,0.00991245915314
430,0.000456154088103,0.00910345326799
431,0.00041739584628,0.00824184372746
432,0.000376621907291,0.00727163479664
433,0.000337996182601,0.00630752131212
434,0.000298236930979,0.00541562412744
435,0.000280221176743,0.00474562939896
436,0.000265003253937,0.0042019443369
437,0.000262086327748,0.00382160299339
438,0.000258177642571,0.00349961676289
439,0.000263318512567,0.0032286436553
440,0.000269312618688,0.00300096848649
441,0.000281475966915,0.00278840876201
442,0.000295063939304,0.00258368701451
443,0.00031557089488,0.00236819141143
444,0.000340303608762,0.00216802200602
445,0.000369411959015,0.00197581880796
446,0.000402758606518,0.00181544261728
447,0.000449359082526,0.0016952082791
448,0.000499033044644,0.00160771158417
449,0.00056689662276,0.00157605216636
450,0.000648305056248,0.00156735128101
451,0.000738818828055,0.00160327707636
452,0.000843168704456,0.00167281380981
453,0.000957676073537,0.00175229731614
454,0.00106842714234,0.00185223995819
455,0.00118600650255,0.00196074294084
456,0.00130626573521,0.00206130764121
457,0.00141475624082,0.00212391967692
458,0.00150455665382,0.00213928546304
459,0.00157531898036,0.0021235261858
460,0.00163050858982,0.00206593878285
461,0.00166708277096,0.00194303135103
462,0.00171494088386,0.00180198528449
463,0.00176335949128,0.00164701203387
464,0.00183435742484,0.00148778970112
465,0.00193589014406,0.0013305679442
466,0.00207059087066,0.00120159064462
467,0.00225762636949,0.00109748200746
468,0.00248899223849,0.00102420571347
469,0.00274727823899,0.000968762310406
470,0.00304924527758,0.000920168612643
471,0.00335213314198,0.000891755914099
472,0.00367426712028,0.00086096082565
473,0.00396204565605,0.00083477764363
474,0.00423594059117,0.0008199089143
475,0.00447319601016,0.000789159689693
476,0.00464518591267,0.000759250365393
477,0.0047210686819,0.000713648056443
478,0.00470786480058,0.000666630414
479,0.00464158875589,0.000622118202422
480,0.0044950945608,0.00057008437258
481,0.00427931172145,0.000523308943002
482,0.00406335958048,0.000485189039482
483,0.00377187189007,0.000442142059949
484,0.00348773983916,0.00041361702216
485,0.00322287483078,0.000379484514179
486,0.0029703461438,0.000354415707803
487,0.002747452338,0.000333018183173
488,0.00252668547286,0.000313102713366
489,0.00234329600977,0.000297533509641
490,0.00218246026277,0.000292044633909
491,0.00205995017071,0.000286930667018
492,0.00192323719113,0.000279387160968
493,0.00179260219448,0.000281528333802
494,0.00170970897541,0.000281156242586
495,0.0015920172699,0.00028232391995
496,0.00148361573987,0.000293890370704
497,0.00137404165794,0.000302822925724
498,0.00127641463105,0.000317201145691
499,0.00118333394496,0.000330251172305
500,0.0010859753727,0.000349854424549
501,0.000994682271555,0.000376752032008
502,0.000907051297008,0.000407760254428
503,0.000842621551838,0.000455411139217
504,0.000774466557999,0.000496847366541
505,0.000717489893116,0.000550042508601
506,0.00067033167283,0.00060430930858
507,0.000634170020153,0.000677524880952
508,0.000607001777825,0.000761618885273
509,0.000590025902855,0.000850616120187
510,0.000569575149115,0.000960593980657
511,0.000558901908557,0.0010610524361
512,0.000541748596634,0.0011774452045
513,0.000539118472898,0.00130209445843
514,0.000538903701771,0.00144926705908
515,0.000543560991952,0.00159659289791
516,0.000542902495979,0.00174957833484
517,0.000543384215185,0.00189661954322
518,0.00054715757603,0.00203305230143
519,0.000546729611727,0.00216944228486
520,0.000554222070012,0.00229995997615
521,0.000549780841313,0.00239510345211
522,0.000535929585156,0.00246099448186
523,0.000532266858419,0.00252269857673
524,0.000521826172996,0.00255729811112
525,0.000513884098265,0.00255921406813
526,0.000494981540922,0.00251714195118
527,0.000475270021815,0.00247764252074
528,0.000456381207046,0.00239718522981
529,0.000432055333894,0.00231676518072
530,0.000411817694958,0.00219944400915
531,0.000388006613392,0.00208128342708
532,0.000368446855424,0.00195484078957
533,0.000337981302827,0.00183790305611
534,0.000316895471721,0.00171347102804
535,0.000299444607861,0.0016102673143
536,0.000278013116977,0.00149893669958
537,0.000260143703103,0.00141435520217
538,0.000241594242232,0.00132629505326
539,0.000229594305759,0.00125852789109
540,0.000216420575951,0.00118192467499
541,0.000204450074151,0.00112593653075
542,0.000191367991032,0.00107109276989
543,0.000180221045034,0.00100363656024
544,0.000169951904365,0.000954173913325
545,0.00015908941012,0.000909271529109
546,0.000149274496346,0.000858018117795
547,0.000144761937165,0.000820428229491
548,0.000133966487782,0.000773941884876
549,0.000124567479273,0.000729386780833
550,0.000114948627439,0.00068676998565
551,0.000112127128362,0.000653447816289
